,d1_PY,d1_id,d1_title,d2_PY,d2_id,d2_title
0,2014,16478,Perceptions of forest experts on climate change and fire management in European Mediterranean forests,2013,323648,Perceptions of forest experts on climate change and fire management in European Mediterranean forests
1,2013,19448,"Fruit vegetable farmers' perception of climate change and adaptation strategies in Gombe state, Nigeria",2013,1830634,"Fruit Vegetable Farmers' Perception of Climate Change and Adaptation Strategies in Gombe State, Nigeria"
2,2013,33247,Sustainability principles put into practice: case studies of network analysis in Swiss climate change adaptation,2015,315673,Sustainability principles put into practice: case studies of network analysis in Swiss climate change adaptation
3,2015,86075,Climate change impacts on Siberia’s evenki: A study of traditional land use and adaptation in southern Yakutia,2015,1878774,CLIMATE CHANGE IMPACTS ON SIBERIA'S EVENKI: A STUDY OF TRADITIONAL LAND USE AND ADAPTATION IN SOUTHERN YAKUTIA
4,2017,99668,Comparing smallholder farmers’ perception of climate change with meteorological data: A case study from southwestern Nigeria,2017,1854128,Comparing smallholder farmers' perception of climate change with meteorological data: A case study from southwestern Nigeria
5,2015,188510,Farmers' responses to climate change impact on water availability: insights from the Indrawati Basin in Nepal,2015,497830,Farmers’ responses to climate change impact on water availability: insights from the Indrawati Basin in Nepal
6,2015,199574,Coping with coastal risk and vulnerabilities in Bangladesh,2014,615816,Coping with coastal risk and vulnerabilities in Bangladesh
7,2013,246507,How are we adapting to climate change? A global assessment,2015,688009,How are we adapting to climate change? A global assessment
8,2016,365174,"A peopleaEurocentred perspective on climate change, environmental stress, and livelihood resilience in Bangladesh",2016,2478575,"A people-centred perspective on climate change, environmental stress, and livelihood resilience in Bangladesh."
9,2014,395787,"Farmers’ perception of climate change, impact and adaptation strategies: a case study of four villages in the semi-arid regions of India",2015,488243,"Farmers' perception of climate change, impact and adaptation strategies: a case study of four villages in the semi-arid regions of India"
10,2015,396526,Measurement of the cooling efficiency of pavement-watering as an urban heat island mitigation technique,2015,1807981,Measurement of the Cooling Efficiency of Pavement-watering as an Urban Heat Island Mitigation Technique
11,2016,401050,Women’s solidarity economy initiatives to strengthen food security in response to disasters: Insights from two Philippine case studies,2016,578744,Women's solidarity economy initiatives to strengthen food security in response to disasters Insights from two Philippine case studies
12,2016,411658,"Fishers' perceptions of climate change, impacts on their livelihoods and adaptation strategies in environmental change hotspots: a case of Lake Wamala, Uganda",2016,675737,"Fishers’ perceptions of climate change, impacts on their livelihoods and adaptation strategies in environmental change hotspots: a case of Lake Wamala, Uganda"
13,2013,543992,"The Biosphere Reserve Andean Belt, Colombia. Any region model of adaptation strategies to climate change and sustainable regional development?",2013,613296,"The Biosphere Reserve Cinturon Andino, Colombia. A regional model of adaptation strategies to climate change and sustainable regional development?"
14,2013,563894,Adaptive capacity contributing to improved agricultural productivity at the household level: Empirical findings highlighting the importance of crop insurance,2017,866572,Adaptive capacity contributing to improved agricultural productivity at the household level: Empirical findings highlighting the importance of crop insurance
15,2014,617293,"Farming adaptations to the impacts of climate change and extreme events in Pacific Island countries: Case study of bellona atoll, Solomon Islands",2016,880498,"Farming adaptations to the impacts of climate change and extreme events in Pacific Island countries: Case study of Bellona Atoll, Solomon Islands"
16,2014,657206,[Review on farmer's climate change perception and adaptation].,2014,713013,Review on farmer's climate change perception and adaptation
17,2015,722227,Resilience of Human Mobility under the Influence of Typhoons,2015,1741257,Resilience of human mobility under the influence of typhoons
18,2017,756737,Integrating Health into Local Climate Response: Lessons from the US CDC Climate-Ready States and Cities Initiative,2017,2091183,Integrating Health into Local Climate Response: Lessons from the U.S. CDC Climate-Ready States and Cities Initiative.
19,2017,797836,"THE PHENOMENON OF CLIMATIC CHANGE IN THE PERCEPTION OF THE PUREPED INDIGENOUS COMMUNITY OF THE MUNICIPALITY OF CHILCHOTA, MICHOACAN, MEXICO",2017,859051,"The phenomenon of climate change on the perception of Purépecha indigenous community of the municipality of Chilchota, Michoacan, Mexico"
20,2017,852913,Analysis of farmers’ adaptation to weather extremes in West African Sudan Savanna,2017,1866365,Analysis of farmers' adaptation to weather extremes in West African Sudan Savanna
21,2017,857872,SOUTH-EAST ASIAN FARMER PERCEPTIONS of CLIMATE CHANGE,2017,1514791,SOUTH-EAST ASIAN FARMER PERCEPTIONS OF CLIMATE CHANGE
22,2017,861241,"Development interventions, adaptation decisions and farmers’ well-being: evidence from drought-prone households in rural India",2019,2108596,"Development interventions, adaptation decisions and farmers' well-being: evidence from drought-prone households in rural India"
23,2017,862688,Business engagement in adaptation to climate change in developing countries: A case study based on behavioral perspective,2017,1027334,BUSINESS ENGAGEMENT IN ADAPTATION TO CLIMATE CHANGE IN DEVELOPING COUNTRIES: A CASE STUDY BASED ON BEHAVIORAL PERSPECTIVE
24,2016,878342,"Farming transitions under Socio-economic and climatic constraints in the southern part of Sétif, Algeria",2016,1622294,"Farming transitions under Socio-economic and climatic constraints in the southern part of Setif, Algeria"
25,2016,1563805,Evaluation of adaptation practices in the agriculture sector of Bangladesh: An ecosystem based assessment,2016,1796119,Evaluation of Adaptation Practices in the Agriculture Sector of Bangladesh: An Ecosystem Based Assessment
26,2019,1971832,Climate proofing social housing in the Netherlands: toward mainstreaming?,2019,2390335,Climate proofing social housing in the Netherlands: toward mainstreaming?
27,2019,2027703,The effect of climate change adaptation strategy on farm households welfare in the Nile basin of Ethiopia: Is there synergy or trade-offs?,2019,2463740,The effect of climate change adaptation strategy on farm households welfare in the Nile basin of Ethiopia Is there synergy or trade-offs?
28,2019,2058789,"Influence of livelihood assets, experienced shocks and perceived risks on smallholder coffee farming practices in Peru.",2019,2276413,"Influence of livelihood assets, experienced shocks and perceived risks on smallholder coffee farming practices in Peru<bold> </bold>"
29,2019,2058797,Use and perceptions of alternative economic activities among smallholder coffee farmers in Huehuetenango and El Quiché departments in Guatemala,2019,2282579,Use and perceptions of alternative economic activities among smallholder coffee farmers in Huehuetenango and El Quiche departments in Guatemala
30,2019,2093904,In-Situ Adaptation and Coastal Vulnerabilities in Ghana and Tanzania,2019,2389382,In-Situ Adaptation and Coastal Vulnerabilities in Ghana and Tanzania
31,2019,2097161,Climate change impacts on health and wellbeing in rural and remote regions across Canada: a synthesis of the literature,2019,2478028,At-a-glance - Climate change impacts on health and wellbeing in rural and remote regions across Canada: a synthesis of the literature.
32,2019,2360067,The Climate Change and Health Adaptation Program: Indigenous climate leaders' championing adaptation efforts,2019,2478029,Commentary - The Climate Change and Health Adaptation Program: Indigenous Climate Leaders' Championing Adaptation Effort.
33,2019,2437805,Adoption of climate change adaptation strategies by maize-dependent smallholders in Ethiopia,2019,2464351,Adoption of climate change adaptation strategies by maize-dependent smallholders in Ethiopia
34,2019,2446743,Is there any chance for the poor to cope with extreme environmental events? Two case studies in the Solomon Islands,2019,2464019,Is there any chance for the poor to cope with extreme environmental events? Two case studies in the Solomon Islands
35,2019,2446761,Climate smart agricultural practices and gender differentiated nutrition outcome: An empirical evidence from Ethiopia,2019,2464015,Climate smart agricultural practices and gender differentiated nutrition outcome: An empirical evidence from Ethiopia
