id,link,title,content,db1_overall,l.berrangford_db1,apfisch_db1,ee18ivc_db1,miriam_db1,db2_overall,l.berrangford_db2,apfisch_db2,ee18ivc_db2,miriam_db2,l.berrangford_notes,apfisch_notes,ee18ivc_notes,miriam_notes
44683,https://apsis.mcc-berlin.net/scoping/document/193/44683/,Raising awareness about climate change in Pacific communities,"Community-based climate change projects in the Pacific typically seek to raise the awareness of locals about the consequences of climate change and changing weather patterns. A key concern is that such activities might be done in an ad hoc manner, with little consideration of local relevance, audience and the integration of local experiences and knowledge. Drawing on the results gleaned from an interactive focus group with 10 climate change practitioners working in the region, this exploratory study investigates why raising awareness about climate change remains crucial, and importantly, how such activities might be done in a more relevant, meaningful and empowering way at the community level in the Pacific. This commentary argues that it is essential for communities to make local sense of climate change, particularly in an ever-changing world where knowledge is continuously expanding and changing. Initial findings suggest that making local sense of and raising awareness about climate change readily comes about with due consideration of approach, audience and context.",Mixed,Yes,Maybe,Yes,No,Mixed/Maybe,No,No,Yes,Unrated,,,,
49638,https://apsis.mcc-berlin.net/scoping/document/193/49638/,"Translating Climate Change: Adaptation, Resilience, and Climate Politics in Nunavut, Canada","This article examines the translation of key terms about climate change from English into Inuktitut, considering not only their literal translation but also the broader context within which words make sense. We argue that notions of resilience, adaptation, and climate change itself mean something fundamentally different in Inuktitut than English and that this has implications for climate policy and politics. To the extent that climate change is translated into Inuktitut as a wholly environmental phenomenon over which humans have no control, both adaptation and resilience come to be seen as appropriate and distinctly Inuit modes of relating to shifting climatic conditions, calling on practices of patience, observation, creativity, forbearance, and discretion. If translated as a matter of unethical harm of sila, however, Inuit frameworks of justice, relationality, and healing would be activated. In the context of a broader global shift away from mitigation and toward enhancing the adaptive capacities and resilience of particular populations, current modes of translating climate change, we argue, are deeply political.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
64887,https://apsis.mcc-berlin.net/scoping/document/193/64887/,A decision framework for Integrated Assessment Modelling of air quality at regional and local scale,"Decision making in the field of air quality and greenhouses gases reductions can nowadays be supported by a clear overall framework and by computer tools that integrate the most relevant aspects of the problem. This approach is particularly important at local scale since new general rules on emission abatement at European level can only marginally modify the most critical hotspots and may be very costly. This paper adapts the general Drivers, Pressures, State, Impacts, Responses (DPSIR) scheme proposed by the European Environment Agency to the specific case of local air quality policies and shows how the most recent scientific developments in impact evaluation and social acceptance can be integrated. The proposed decision framework represents a general methodology to design Integrated Assessment Modelling (IAM) systems aimed at the implementation of effective Air Quality Plans (AQP). An extensive survey across European countries shows the current degree of adoption of these approaches. (C) 2016 Elsevier Ltd. All rights reserved.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
77756,https://apsis.mcc-berlin.net/scoping/document/193/77756/,"Quantifying vulnerability of rural communities to flooding in SSA: A contemporary disaster management perspective applied to the Lower Shire Valley, Malawi","In response to the increasing frequency and economic damages of natural disasters globally, disaster management has evolved significantly to incorporate vulnerability assessments that are multi-dimensional, integrated and metric-based. This is to support knowledge-based decision making and hence sustainable disaster risk reduction. In Malawi and most of Sub-Saharan Africa (SSA), however, flood vulnerability assessments mainly focusing on social vulnerability, have been largely qualitative. The subjective nature of such qualitative assessments makes their use for identifying relative vulnerabilities of specific people and places, targeting of interventions, allocation of scarce resources and monitoring of benefits that may arise from interventions extremely problematic. Viewing vulnerability through exposure, susceptibility and capacity dimensions, all linked to social, economic, physical and environmental factors, this study has used an index-based approach to quantify and profile vulnerability to flooding of rural, subsistent communities in the Lower Shire Valley, Malawi. Results show that vulnerability to flooding is susceptibility-driven with susceptibility magnitudes manifesting as high to very high. In particular, socio-economic and to a large extent environmental susceptibilities are predominantly high to very high. Economic and physical capacities tend to be low but societal capacity tends to be high thereby attenuating overall capacity-induced vulnerability to medium levels. Physical exposure is medium. Except for environmental vulnerability, spatial differentiation in all forms of vulnerability across communities is in general marginal. (C) 2015 Elsevier Ltd. All rights reserved",Mixed,Yes,No,No,No,Mixed/Maybe,No,Unrated,Unrated,Unrated,,,,
88908,https://apsis.mcc-berlin.net/scoping/document/193/88908/,The effect of long-term drying associated with experimental drainage and road construction on vegetation composition and productivity in boreal fens,"Land-use and climate change are expected to cause drying of vegetation and surface soils in continental boreal peatlands. We examined the effects of multi-decadal drying and drainage on plant community structure and productivity in four fens located in Alberta, Canada. Long-term drying resulted in a two to fourfold increase in total biomass in three of the four fen sites, with a similar large increase in NPP in Treed Fen 1. The treed poor fens consistently had decreased moss cover and productivity with drainage. Across all sites, changes in understory community composition were related to the change in water table position as well as overstory canopy development that occurred post-drainage. Overall, drainage induced a shift toward a drier peatland regime, favoring increased canopy and vascular plant density at the expense of ground-layer mosses or the understory. Within the ground layer communities, drainage favored dry-adapted hummock moss and lichen species over those wet-adapted but dessication-prone species typical of low-lying lawns and hollows. Alteration of fen vegetation due to ecosystem drying will not only influence carbon sequestration but also will increase the vulnerability of peatlands to wildfire, increasing the risk of further ecosystem degradation and possible loss of resilience.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
96092,https://apsis.mcc-berlin.net/scoping/document/193/96092/,From the circular economy to a green economy. Note 1. Chitin Nanofibrils as natural by-products to manage the human and environment ecosystems,"The transition to a high level of human development has created a negative ecological footprint, putting a disproportionate burden on the environment. Thus the necessity for increasing the resource efficiency, minimizing both harmful greenhouse gas emissions and waste material, to transform the actual circular economy to a green economy with waste near to zero. The transition to a green economy could reduce the risks of global climate changes and ameliorate the energy security, because of its capacity to use in a better way both natural resources and waste materials. The annual cost in natural capital degradation, in fact, is estimated at US$ 7.3 trillion, almost six time the cost of greening the economy, while ∼2 billion tons of wasted food is produced on the planet together with 50 million tons of electrical waste. Therefore, the necessity to change our way of living is a must of our society. Among the use of industrial by-products, a major use of raw materials, as chitin nanofibrils obtained from crustaceans waste, will certainly contribute to accelerate the passage from a circular economy to a green economy, safeguarding the planet biodiversity also. Data and examples of this use will be reported.",Mixed,No,No,No,Maybe,Unrated,Unrated,Unrated,Unrated,Unrated,,,,"can’t tell if this is empirical
under some definitions a new waste management product could be adaptive "
110619,https://apsis.mcc-berlin.net/scoping/document/193/110619/,Proteomic Techniques and Management of Flooding Tolerance in Soybean,"Climate change is considered a major threat to world agriculture and food security. To improve the agricultural productivity and sustainability, the development of high-yielding stress-tolerant, and climate-resilient crops is essential. Of the abiotic stresses, flooding stress is a very serious hazard because it markedly reduces plant growth and grain yield. Proteomic analyses indicate that the effects of flooding stress are not limited to oxygen deprivation but include many other factors. Although many flooding response mechanisms have been reported, flooding tolerance mechanisms have not been fully clarified for soybean. There were limitations in soybean materials, such as mutants and varieties, while they were abundant in rice and Arabidopsis. In this review, plant proteomic technologies are introduced and flooding tolerance mechanisms of soybeans are summarized to assist in the improvement of flooding tolerance in soybeans. This work will expedite transgenic or marker-assisted genetic enhancement studies in crops for developing high-yielding stress-tolerant lines or varieties under abiotic stress.",Mixed,No,Maybe,No,Maybe,Mixed/Maybe,Unrated,Maybe,Unrated,Unrated,,,,
188512,https://apsis.mcc-berlin.net/scoping/document/193/188512/,Agro-climatic adaptation of cropping systems under climate change in Shanghai,"Climate change affects the heat and water resources required by agriculture, thus shifting cropping rotation and intensity. Shanghai is located in the Taihu Lake basin, a transition zone for various cropping systems. In the basin, moderate climate changes can cause major shifts in cropping intensity and rotation. In the present study, we integrated observational climate data, one regional climate model, land use maps, and agricultural statistics to analyze the relationship between heat resources and multi-cropping potential in Shanghai. The results of agro-climatic assessment showed that climate change over the past 50 years has significantly enhanced regional agroclimatic resources, rendering a shift from double cropping to triple cropping possible. However, a downward trend is evident in the actual multi-cropping index, caused principally by the increasing costs of farming and limitations in the supply of labor. We argue that improving the utilization rate of the enhanced agro-climatic resources is possible by introducing new combinations of cultivars, adopting more laborsaving technologies, and providing incentives to farmers.",Mixed,Yes,No,Maybe,Maybe,Mixed/Maybe,No,Unrated,Unrated,Unrated,,,,"assessment, seems like just arguing for an adaptation use case             "
222427,https://apsis.mcc-berlin.net/scoping/document/193/222427/,Heat wave effects on biomass and vegetative growth of macrophytes after long-term adaptation to different temperatures: a mesocosm study,"Elevated temperatures and extreme climatic events, such as heat waves, can negatively affect submerged macrophytes. Here, we investigated how submerged macrophytes adapted to 3 different temperatures (ambient, ca. + 3 degrees C and ca. + 4.5 degrees C) responded to a heat wave. After 10 yr of adaptation, the shoots of 2 species of submerged macrophytes, Elodea canadensis and Potamogeton crispus, were collected from each of the 3 temperature treatments and transferred to 2 heated treatments for 1 mo. The 2 heated treatments were then exposed to a 1 mo heat wave with an additional 5 degrees C temperature increase. For P. crispus, total biomass did not differ among the plants adapted to the different temperatures or between the 2 heated treatments for the duration of the experiment. Plants adapted to the highest temperatures, however, produced a larger number of smaller turions before the heat wave and allocated less biomass to elongation before and after the heat wave. For E. canadensis, the plants adapted to higher temperatures had higher total biomass before and during the heat wave and allocated more biomass to roots and leaves during the heat wave. Most indicators (e.g. length and biomass) of macrophyte performance measured during the experiment did not differ between the 2 heated treatments. In summary, after the 10 yr adaptation to higher temperatures, the submerged macrophytes showed adaptive changes in growth and asexual reproduction and responded in a complex way to the heat wave depending on species, growth status and adaptation temperature.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,non-human adaptation                     
225751,https://apsis.mcc-berlin.net/scoping/document/193/225751/,Simplified modelling of apple flowering phenology for application in climate change scenarios,"Plant phenology has a strong sensitivity to temperature and therefore high relevance to document responses to climate change. Flowering phenology plays a major role as a relevant set-point (i.e., biofix) in tree fruit pest and disease modelling. Projected climate change largely affects the range and phenology of pests and diseases, which requires adaptations of plant protection strategies to maintain their sustainability. The aim of the present study was (1) to elucidate a change in apple fruit phenology during the last decades and (2) to develop a simple heating model that only relies on present-year accumulated temperature sums. The results showed that apple flowering advanced on average 3.1 days/decade from 1960 to 2010. From 1981 to 2011, full bloom even advanced on average 5.1 days/decade. These shifts are similar to other phenological events of temperate deciduous trees reported in literature. For beginning of flowering, full bloom, and flowering termination (BBCH 60, 65, 69), the variation in temperature sums (coefficient of variation) was smallest for forcing day of year (DOY) 45 and forcing temperature threshold of 0°C. The corresponding temperature sums from DOY 45 were 10368 degree-hours (°h) (BBCH 60), 12546°h (BBCH 65), and 15914°h (BBCH 69). For BBCH 60 and 65, the validation of the simplified heating model for apple flowering revealed a good relationship between observed DOY and simulated DOY across all years and sites. Those models are simple, do not rely on data of the previous year and are therefore easily applicable in climate change scenarios, for pest and disease simulations.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
